count	reward_sum	squared_reward_sum	length
580	-91.08552259327693	10003.125236452544	119
581	0.622098920514162	10030.04135234436	519
582	211.34250195288664	50.32885029187814	1120
583	-14.370490705693669	10042.563328901715	773
584	-18.759555644367794	10020.754742890425	417
585	-9.269536062696986	10023.59233027327	445
586	54.475554523659724	10037.359383378825	771
587	-73.32236359902228	10006.543761665002	183
588	-52.512087988871855	10012.863111018904	281
589	107.85488827759502	10055.316547777587	1026
590	216.0406527521334	59.92549104050954	978
591	206.21596923262499	55.51350739072918	1104
592	-43.07802831111815	10013.33252349268	348
593	65.76323110333513	10043.640826300652	851
594	-49.42092777969075	10022.012147058767	648
595	75.01501182565204	10045.732135592614	1065
596	-82.1145928337474	10004.261834756953	186
597	-9.274561986147205	10027.040279433942	426
598	217.1797897557149	56.881338293121416	992
599	-28.648239020962208	10015.772734788663	456
600	-104.49214216519411	10007.484646473124	269
601	-8.260114583909058	10024.001190731497	463
602	-13.265672553332024	10023.207483509002	439
603	-77.9247123758052	10006.13999965763	225
604	57.826942153024675	10043.619003419288	753
605	-77.05522701652944	10004.807411227974	172
606	-97.2008392716813	10002.359486028656	149
607	39.51910590464672	10034.011241895776	704
608	-18.73271532783653	10022.549519651924	451
609	84.60221497334499	10045.552505434956	1061
610	-59.134502636145946	10010.973871797056	360
611	-10.769374289560545	10023.000714342956	438
612	213.69464421431175	54.678128699594915	1050
613	-32.81479622785628	10020.3810747541	423
614	-6.835532923922074	10023.372005125186	490
615	214.29713395450526	53.516753881582424	1059
616	-80.74620883100457	10013.382427469214	305
617	220.67445649698166	58.33407915372262	960
618	-25.81265523786017	10018.5583498041	429
619	-53.02624465115362	57.121963770789996	2000
620	-70.36942533608486	10007.93821798228	178
621	48.93707339109659	10038.784338234816	705
622	-113.53810270407975	10012.033989324707	311
623	194.77609648290974	48.33294918989307	1267
624	209.2373417611584	59.63463489326651	1103
625	192.50312786134322	57.10930023183895	1250
626	209.7064410735155	53.16035251409569	1074
627	58.8028947324286	10038.305414645534	876
628	-82.60372379935828	10003.8427788969	134
629	-89.58970250608807	10006.468846392294	267
630	-34.17909380513932	10018.418220840065	412
631	206.90172357265521	55.7830820713799	1097
632	5.3884562340497695	10038.566419639039	937
633	-118.3384033498765	10011.442169048729	449
634	-34.476703495484	10039.470216000693	1221
635	-17.23973856244062	10029.184974097489	721
636	211.98107654388406	51.71343251014253	1095
637	213.25609884221436	53.451338957070526	1035
638	-91.14062297017345	10002.781805452212	136
639	25.96058089093418	10029.059335167392	752
640	207.85642033169148	51.41773675149054	1129
641	72.28371191682581	10046.257114142083	790
642	-36.12373822508331	10017.850448619654	345
643	-20.79134390661801	10023.324089671103	373
644	214.57124540101742	55.10636279641667	982
645	-85.36825720232356	10004.166934132696	204
646	212.80309879432178	49.896321584867906	1087
647	22.80670504094543	10030.325166689867	630
648	88.20946467236732	10050.430505132103	882
649	217.3967833193515	54.84976541522694	1035
650	8.876364577147797	10028.699396742852	533
651	-74.29805338859951	10007.593022161698	238
652	-88.08906034266975	10002.82750824495	125
653	207.3502955682144	48.651373066449935	1124
654	44.37196831961279	10032.911272147474	808
655	23.74819585737795	10034.391238300126	636
